Device Time, G(x), G(y), G(z), G(calibrated),
28-3-2014 12:32:35.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:36.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:37.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:38.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:39.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:40.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:41.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:42.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:43.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:44.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:45.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:46.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:47.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:48.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:49.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:50.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:51.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:52.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:53.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:54.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:55.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:56.147,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:57.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:58.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:32:59.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:00.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:01.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:02.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:03.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:04.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:05.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:06.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:07.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:08.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:09.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:10.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:11.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:12.146,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:13.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:14.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:15.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:16.143,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:17.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:18.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:19.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:20.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:21.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:22.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:23.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:24.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:25.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:26.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:27.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:28.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:29.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:30.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:31.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:32.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:33.148,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:34.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:35.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:36.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:37.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:38.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:39.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:40.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:41.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:42.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:43.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:44.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:45.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:46.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:47.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:48.144,0.04,7.67000008,6.3499999,0.0340417,
